Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
413,Damon Jones,32,MIL,PG,18,0,6.0,0.6,1.9,.324,0.6,1.6,.393,0.0,0.3,.000,.485,0.0,0.0,,0.0,0.3,0.3,0.4,0.2,0.0,0.3,0.2,1.8,,jonesda01
414,Dikembe Mutombo,42,HOU,C,9,2,10.7,0.6,1.4,.385,0.0,0.0,,0.6,1.4,.385,.385,0.7,1.0,.667,1.3,2.3,3.7,0.0,0.0,1.2,0.7,1.2,1.8,,mutomdi01
415,Shavlik Randolph,25,POR,PF,10,0,3.7,0.8,1.3,.615,0.1,0.1,1.000,0.7,1.2,.583,.654,0.1,0.4,.250,1.0,0.8,1.8,0.0,0.0,0.1,0.6,0.4,1.8,,randosh01
416,James White,26,HOU,SF,4,0,2.8,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.3,0.8,0.5,1.8,,whiteja02
417,Adonal Foyle,33,2TM,C,10,0,6.2,0.7,1.1,.636,0.0,0.0,,0.7,1.1,.636,.636,0.3,0.6,.500,0.9,1.7,2.6,0.1,0.0,0.8,0.3,0.5,1.7,,foylead01
417,Adonal Foyle,33,ORL,C,9,0,6.6,0.8,1.2,.636,0.0,0.0,,0.8,1.2,.636,.636,0.3,0.7,.500,1.0,1.9,2.9,0.1,0.0,0.9,0.3,0.4,1.9,,foylead01
417,Adonal Foyle,33,MEM,C,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,foylead01
418,Maurice Ager,24,NJN,SG,20,0,4.9,0.8,2.2,.349,0.0,0.3,.000,0.8,1.9,.405,.349,0.2,0.4,.500,0.2,0.4,0.5,0.2,0.1,0.1,0.2,0.9,1.7,,agerma01
419,Eddy Curry,26,NYK,C,3,0,4.0,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.3,1.0,.333,0.0,1.3,1.3,0.0,0.0,0.0,0.7,1.7,1.7,,curryed01
420,Cedric Simmons,23,2TM,PF,18,0,4.7,0.6,1.4,.440,0.0,0.0,,0.6,1.4,.440,.440,0.4,0.9,.438,0.3,0.6,0.9,0.1,0.1,0.2,0.1,0.4,1.6,,simmoce01
